LINEUPS,PPM,PFPM,TOVPM,BLKPM,STLPM,ASTPM,REBPM,DRBPM,ORBPM,FGPM,FGAPM,PM3P,PM3PA,PFDPM,plus_minusPM,FT%
".A. Afflalo, .K. Koufos, .D. Collison, .D. Cousins, .B. McLemore",1.96590909090909,0.375,0.431818181818182,0.0681818181818182,0.181818181818182,0.443181818181818,0.829545454545455,0.647727272727273,0.181818181818182,0.75,1.67045454545455,0.227272727272727,0.625,0.272727272727273,-0.409090909090909,0.777777777777778
".A. Afflalo, .K. Koufos, .D. Collison, .G. Temple, .D. Cousins",2.02631578947368,0.403508771929825,0.236842105263158,0.105263157894737,0.131578947368421,0.456140350877193,0.763157894736842,0.631578947368421,0.131578947368421,0.754385964912281,1.52631578947368,0.201754385964912,0.473684210526316,0.43859649122807,-0.0614035087719298,0.692307692307692
".A. Ajinca, .J. Holiday, .A. Davis, .S. Hill, .B. Hield",2.17283950617284,0.382716049382716,0.308641975308642,0.0987654320987654,0.197530864197531,0.481481481481481,0.925925925925926,0.765432098765432,0.160493827160494,0.802469135802469,1.66666666666667,0.185185185185185,0.407407407407407,0.308641975308642,0.0123456790123457,0.815789473684211
".A. Aminu, .D. Lillard, .C. McCollum, .S. Napier, .J. Nurkic",2.48684210526316,0.315789473684211,0.210526315789474,0.105263157894737,0.210526315789474,0.421052631578947,0.947368421052632,0.736842105263158,0.210526315789474,0.868421052631579,1.80263157894737,0.25,0.736842105263158,0.447368421052632,0.460526315789474,0.863636363636364
".A. Aminu, .D. Lillard, .M. Harkless, .C. McCollum, .J. Nurkic",2.41255961844197,0.41335453100159,0.255961844197138,0.135135135135135,0.170111287758347,0.501589825119237,0.975357710651828,0.743243243243243,0.232114467408585,0.902225755166932,1.88473767885533,0.21939586645469,0.600158982511924,0.395866454689984,0.16852146263911,0.830220713073005
".A. Aminu, .D. Lillard, .M. Harkless, .C. McCollum, .M. Plumlee",2.26666666666667,0.36078431372549,0.258823529411765,0.152941176470588,0.16078431372549,0.556862745098039,0.901960784313726,0.72156862745098,0.180392156862745,0.894117647058824,1.80392156862745,0.254901960784314,0.635294117647059,0.317647058823529,0.164705882352941,0.74025974025974
".A. Aminu, .D. Lillard, .M. Harkless, .J. Nurkic, .J. Layman",2.44827586206897,0.344827586206897,0.241379310344828,0.0689655172413793,0.120689655172414,0.586206896551724,0.793103448275862,0.620689655172414,0.172413793103448,0.948275862068966,1.8448275862069,0.275862068965517,0.655172413793103,0.362068965517241,0.0689655172413793,0.8
".A. Aminu, .E. Kanter, .D. Lillard, .M. Harkless, .J. Layman",2.23529411764706,0.215686274509804,0.176470588235294,0.117647058823529,0.176470588235294,0.411764705882353,1.3921568627451,0.980392156862745,0.411764705882353,0.92156862745098,2.17647058823529,0.0784313725490196,0.509803921568627,0.490196078431373,0.509803921568627,0.8
".A. Aminu, .E. Kanter, .D. Lillard, .M. Harkless, .R. Hood",2.3134328358209,0.328358208955224,0.343283582089552,0.134328358208955,0.253731343283582,0.43283582089552203,1.05970149253731,0.73134328358209,0.328358208955224,0.865671641791045,1.82089552238806,0.194029850746269,0.611940298507463,0.43283582089552203,0.149253731343284,0.787878787878788
".A. Aminu, .M. Harkless, .A. Crabbe, .C. McCollum, .M. Plumlee",2.18390804597701,0.436781609195402,0.333333333333333,0.0459770114942529,0.160919540229885,0.425287356321839,1,0.816091954022989,0.183908045977011,0.793103448275862,1.74712643678161,0.172413793103448,0.425287356321839,0.390804597701149,0.0344827586206897,0.787234042553192
