"","LINEUPS","PPM","PFPM","TOVPM","BLKPM","STLPM","ASTPM","REBPM","DRBPM","ORBPM","FGPM","FGAPM","PM3P","PM3PA","PFDPM","plus_minusPM","FT%"
"1",".A. Afflalo, .K. Koufos, .D. Collison, .D. Cousins, .B. McLemore",1.96590909090909,0.375,0.431818181818182,0.0681818181818182,0.181818181818182,0.443181818181818,0.829545454545455,0.647727272727273,0.181818181818182,0.75,1.67045454545455,0.227272727272727,0.625,0.272727272727273,-0.409090909090909,0.777777777777778
"2",".A. Afflalo, .K. Koufos, .D. Collison, .G. Temple, .D. Cousins",2.02631578947368,0.403508771929825,0.236842105263158,0.105263157894737,0.131578947368421,0.456140350877193,0.763157894736842,0.631578947368421,0.131578947368421,0.754385964912281,1.52631578947368,0.201754385964912,0.473684210526316,0.43859649122807,-0.0614035087719298,0.692307692307692
"3",".A. Ajinca, .J. Holiday, .A. Davis, .S. Hill, .B. Hield",2.17283950617284,0.382716049382716,0.308641975308642,0.0987654320987654,0.197530864197531,0.481481481481481,0.925925925925926,0.765432098765432,0.160493827160494,0.802469135802469,1.66666666666667,0.185185185185185,0.407407407407407,0.308641975308642,0.0123456790123457,0.815789473684211
"4",".A. Aminu, .A. Crabbe, .C. McCollum, .M. Plumlee, .N. Vonleh",2.08139534883721,0.36046511627907,0.267441860465116,0.0581395348837209,0.209302325581395,0.430232558139535,0.86046511627907,0.709302325581395,0.151162790697674,0.767441860465116,1.68604651162791,0.22093023255814,0.604651162790698,0.383720930232558,0.0348837209302326,0.682926829268293
"5",".A. Aminu, .D. Lillard, .A. Crabbe, .C. McCollum, .M. Plumlee",2.28712871287129,0.475247524752475,0.227722772277228,0.103960396039604,0.158415841584158,0.415841584158416,0.821782178217822,0.599009900990099,0.222772277227723,0.787128712871287,1.7970297029703,0.153465346534653,0.584158415841584,0.50990099009901,0.103960396039604,0.837037037037037
"6",".A. Aminu, .D. Lillard, .C. McCollum, .J. Nurkic, .J. Layman",2.4579945799458,0.387533875338753,0.295392953929539,0.116531165311653,0.159891598915989,0.560975609756098,0.962059620596206,0.739837398373984,0.222222222222222,0.924119241192412,1.86178861788618,0.265582655826558,0.650406504065041,0.390243902439024,0.227642276422764,0.846666666666667
"7",".A. Aminu, .D. Lillard, .C. McCollum, .M. Plumlee, .N. Vonleh",2.14402618657938,0.378068739770867,0.294599018003273,0.0900163666121113,0.130932896890344,0.453355155482815,0.93126022913257,0.684124386252046,0.247135842880524,0.819967266775777,1.83142389525368,0.248772504091653,0.589198036006547,0.299509001636661,-0.0147299509001637,0.78
"8",".A. Aminu, .D. Lillard, .C. McCollum, .S. Curry, .J. Nurkic",2.67307692307692,0.326923076923077,0.211538461538462,0.0384615384615385,0.0961538461538462,0.384615384615385,1.05769230769231,0.730769230769231,0.326923076923077,0.865384615384615,1.86538461538462,0.211538461538462,0.596153846153846,0.634615384615385,0.538461538461538,0.826086956521739
"9",".A. Aminu, .D. Lillard, .C. McCollum, .S. Napier, .J. Nurkic",2.48684210526316,0.315789473684211,0.210526315789474,0.105263157894737,0.210526315789474,0.421052631578947,0.947368421052632,0.736842105263158,0.210526315789474,0.868421052631579,1.80263157894737,0.25,0.736842105263158,0.447368421052632,0.460526315789474,0.863636363636364
"10",".A. Aminu, .D. Lillard, .M. Harkless, .A. Crabbe, .J. Nurkic",2.28333333333333,0.35,0.35,0.15,0.133333333333333,0.516666666666667,0.916666666666667,0.633333333333333,0.283333333333333,0.816666666666667,1.7,0.233333333333333,0.55,0.566666666666667,-0.3,0.675675675675676
