"","LINEUPS","MIN","PTS","FGM","FGA","3PM","3PA","FTM","FTA","OREB","DREB","REB","AST","TOV","STL","BLK","BLKA","PF","PFD","+/-"
"111",".B. Beal, .T. Satoransky, .B. Portis, .T. Bryant, .T. Brown Jr.",149,355,135,288,31,99,54,63,40,107,147,83,34,20,6,17,52,62,19
"112",".B. Biyombo, .E. Fournier, .J. Simmons, .E. Payton, .A. Gordon",219,460,178,401,42,110,62,77,55,150,205,121,69,25,32,29,80,71,-37
"113",".B. Biyombo, .E. Fournier, .J. Simmons, .E. Payton, .M. Hezonja",103,214,85,182,17,47,27,37,17,60,77,51,32,21,12,11,43,33,-37
"114",".B. Biyombo, .T. Ross, .E. Fournier, .E. Payton, .A. Gordon",105,242,93,193,19,59,37,55,33,73,106,50,31,14,7,10,47,48,13
"115",".B. Bogdanovic, .W. Cauley-Stein, .B. Hield, .S. Labissiere, .D. Fox",82,190,70,153,15,44,35,38,19,56,75,39,31,14,9,9,29,37,8
"116",".B. Bogdanovic, .W. Cauley-Stein, .S. Labissiere, .D. Fox, .J. Jackson",109,212,85,183,15,42,27,34,14,64,78,51,36,15,10,11,44,33,-40
"117",".B. Bogdanovic, .Y. Ferrell, .J. Jackson, .H. Giles III, .M. Bagley III",71,174,70,132,15,40,19,27,13,60,73,42,17,6,10,5,31,29,23
"118",".B. Diaw, .G. Hayward, .R. Gobert, .D. Exum, .J. Ingles",91,164,63,127,17,39,21,30,3,69,72,46,42,18,17,3,32,35,-23
"119",".B. Diaw, .G. Hayward, .R. Gobert, .R. Hood, .D. Exum",128,274,106,210,30,75,32,38,19,97,116,64,32,10,13,6,41,53,61
"120",".B. Diaw, .G. Hayward, .S. Mack, .R. Gobert, .J. Ingles",74,167,59,110,13,33,36,41,11,47,58,31,21,6,10,4,22,27,10
"121",".B. Diaw, .G. Hayward, .S. Mack, .R. Gobert, .R. Hood",52,100,39,81,13,31,9,12,8,45,53,25,21,6,8,2,26,25,22
"122",".B. Diaw, .G. Hill, .G. Hayward, .R. Gobert, .J. Ingles",88,188,66,137,15,43,41,54,17,58,75,36,22,13,11,4,29,47,3
"123",".B. Diaw, .G. Hill, .G. Hayward, .R. Gobert, .R. Hood",119,250,90,211,18,63,52,57,29,96,125,53,25,7,14,14,37,49,35
"124",".B. Griffin, .I. Smith, .A. Drummond, .L. Galloway, .L. Kennard",80,225,85,154,22,48,33,41,20,60,80,45,14,5,6,6,36,37,58
"125",".B. Griffin, .I. Smith, .A. Drummond, .R. Bullock, .J. Ennis III",165,331,132,293,29,70,38,58,41,111,152,81,54,21,12,14,67,64,-49
"126",".B. Griffin, .I. Smith, .A. Drummond, .R. Bullock, .S. Johnson",258,571,215,470,45,132,96,122,52,224,276,120,80,43,29,30,96,109,41
"127",".B. Griffin, .R. Jackson, .A. Drummond, .G. Robinson III, .L. Galloway",50,97,35,92,8,32,19,24,13,39,52,21,18,8,2,5,17,23,-25
"128",".B. Griffin, .R. Jackson, .A. Drummond, .L. Galloway, .L. Kennard",67,170,63,129,21,51,23,34,17,43,60,35,17,13,5,7,26,27,33
"129",".B. Griffin, .R. Jackson, .A. Drummond, .L. Kennard, .B. Brown",65,131,50,108,14,40,17,25,14,44,58,25,23,5,8,7,36,25,-36
"130",".B. Griffin, .R. Jackson, .A. Drummond, .R. Bullock, .B. Brown",309,717,268,543,97,219,84,108,69,230,299,160,97,41,28,29,112,117,83
"131",".B. Griffin, .R. Jackson, .A. Drummond, .R. Bullock, .G. Robinson III",153,330,132,278,39,110,27,46,32,100,132,85,57,26,11,17,58,63,-18
"132",".B. Griffin, .R. Jackson, .A. Drummond, .R. Bullock, .L. Galloway",75,189,63,143,27,64,36,49,22,45,67,39,17,6,8,10,23,36,21
"133",".B. Griffin, .R. Jackson, .A. Drummond, .R. Bullock, .L. Kennard",102,243,93,189,21,63,36,54,20,74,94,53,25,8,8,11,42,56,7
"134",".B. Griffin, .R. Jackson, .A. Drummond, .R. Bullock, .S. Johnson",109,223,77,190,18,68,51,72,21,84,105,44,33,18,8,15,46,65,-6
"135",".B. Griffin, .W. Ellington, .R. Jackson, .A. Drummond, .B. Brown",289,647,233,534,93,237,88,119,72,189,261,132,73,50,29,25,111,119,14
"136",".B. Griffin, .W. Ellington, .R. Jackson, .A. Drummond, .L. Kennard",68,191,67,126,28,59,29,44,12,43,55,39,17,16,6,7,28,36,59
"137",".B. Jennings, .E. Fournier, .D. Dedmon, .V. Oladipo, .A. Gordon",71,159,60,130,15,33,24,26,15,43,58,32,16,15,13,8,31,24,-1
"138",".B. Lopez, .E. Bledsoe, .K. Middleton, .G. Antetokounmpo, .M. Brogdon",597,1508,567,1152,155,450,219,282,100,505,605,337,170,106,81,76,204,249,92
"139",".B. Lopez, .E. Bledsoe, .K. Middleton, .G. Antetokounmpo, .P. Connaughton",68,186,72,134,20,58,22,28,13,58,71,39,22,11,11,2,31,26,24
"140",".B. Lopez, .E. Bledsoe, .K. Middleton, .G. Antetokounmpo, .S. Brown",128,280,110,251,24,81,36,45,18,108,126,61,39,13,23,20,50,45,-40
"141",".B. Lopez, .E. Bledsoe, .K. Middleton, .T. Snell, .G. Antetokounmpo",67,153,59,121,16,49,19,22,8,60,68,33,20,9,15,2,31,27,3
"142",".B. Lopez, .I. Thomas, .K. Caldwell-Pope, .J. Randle, .L. Ball",57,137,53,104,12,35,19,28,9,35,44,34,16,10,6,4,16,26,-10
"143",".B. Lopez, .J. Lin, .S. Kilpatrick, .R. Hollis-Jefferson, .C. LeVert",50,131,49,90,14,27,19,28,10,40,50,29,14,8,7,4,18,26,31
"144",".B. Lopez, .K. Caldwell-Pope, .B. Ingram, .L. Ball, .K. Kuzma",225,504,198,440,50,150,58,89,51,179,230,112,74,34,34,26,84,88,-3
"145",".B. Lopez, .K. Caldwell-Pope, .J. Randle, .A. Caruso, .K. Kuzma",64,133,47,95,11,29,28,36,4,46,50,27,24,6,5,6,25,29,-18
"146",".B. Lopez, .K. Caldwell-Pope, .J. Randle, .B. Ingram, .J. Hart",175,435,174,325,50,106,37,57,30,136,166,100,54,23,17,15,65,53,33
"147",".B. Lopez, .K. Caldwell-Pope, .J. Randle, .B. Ingram, .L. Ball",105,249,91,188,29,74,38,47,17,90,107,63,41,18,12,9,33,36,-1
"148",".B. Lopez, .K. Caldwell-Pope, .J. Randle, .L. Ball, .K. Kuzma",217,457,167,374,50,146,73,103,38,158,196,102,67,24,21,19,88,82,-46
"149",".B. Lopez, .K. Caldwell-Pope, .L. Nance Jr., .B. Ingram, .L. Ball",219,450,172,393,34,118,72,102,46,158,204,104,71,48,33,21,90,88,-25
"150",".B. Lopez, .K. Caldwell-Pope, .T. Ennis, .J. Randle, .B. Ingram",60,130,50,117,13,36,17,22,12,44,56,28,14,9,6,12,35,25,-7
"151",".B. Lopez, .T. Booker, .B. Bogdanovic, .S. Kilpatrick, .I. Whitehead",179,402,150,309,35,89,67,82,24,126,150,82,60,22,16,22,69,66,-23
"152",".B. Lopez, .T. Booker, .J. Harris, .S. Kilpatrick, .I. Whitehead",56,127,49,103,15,32,14,23,16,38,54,28,21,4,4,7,23,21,9
"153",".B. Rush, .R. Rubio, .G. Dieng, .A. Wiggins, .K. Towns",596,1324,507,1025,84,220,226,271,124,413,537,315,176,82,53,56,203,234,23
"154",".B. Rush, .R. Rubio, .N. Bjelica, .A. Wiggins, .K. Towns",51,116,42,93,9,25,23,33,13,38,51,25,15,10,6,8,33,25,8
"155",".B. Rush, .S. Curry, .K. Thompson, .H. Barnes, .D. Green",61,155,60,123,22,52,13,14,9,43,52,47,12,15,6,9,21,23,32
"156",".B. Udrih, .M. Morris, .J. Leuer, .A. Baynes, .S. Johnson",53,92,37,94,4,14,14,17,11,34,45,22,15,5,5,6,25,25,-20
"157",".B. Udrih, .T. Harris, .J. Leuer, .A. Baynes, .S. Johnson",54,99,42,84,7,17,8,11,10,42,52,16,25,10,5,11,18,16,3
"158",".B. Wright, .M. Chalmers, .T. Evans, .C. Parsons, .D. Brooks",71,161,53,125,14,43,41,54,14,50,64,28,15,15,7,10,45,32,21
"159",".C. Aldrich, .N. Bjelica, .S. Muhammad, .Z. LaVine, .K. Dunn",134,267,109,236,25,64,24,36,33,88,121,58,40,25,12,12,65,39,-9
"160",".C. Anthony, .A. Afflalo, .R. Lopez, .K. Porzingis, .L. Galloway",87,184,62,162,16,47,44,54,25,61,86,40,15,15,12,4,27,37,21
"161",".C. Anthony, .A. Afflalo, .R. Lopez, .L. Thomas, .L. Galloway",67,140,51,104,8,27,30,36,14,53,67,25,23,9,4,1,29,26,13
"162",".C. Anthony, .C. Brewer, .R. Westbrook, .P. George, .S. Adams",344,817,294,654,81,213,148,217,107,241,348,165,110,73,23,26,136,169,16
"163",".C. Anthony, .D. Rose, .C. Lee, .B. Jennings, .K. Porzingis",54,145,49,94,18,39,29,33,7,34,41,24,16,9,8,4,33,22,1
"164",".C. Anthony, .D. Rose, .C. Lee, .K. O'Quinn, .K. Porzingis",84,190,79,166,11,34,21,24,24,52,76,38,23,13,7,7,32,30,-2
"165",".C. Anthony, .D. Rose, .C. Lee, .K. Porzingis, .W. Hernangomez",172,373,148,302,27,67,50,66,29,119,148,88,55,24,18,15,59,57,-33
"166",".C. Anthony, .D. Rose, .C. Lee, .L. Thomas, .K. O'Quinn",69,153,57,128,6,24,33,41,19,37,56,24,18,7,8,5,27,32,-15
"167",".C. Anthony, .D. Rose, .C. Lee, .L. Thomas, .K. Porzingis",109,253,92,195,21,53,48,56,19,77,96,46,24,19,9,15,46,43,14
"168",".C. Anthony, .D. Rose, .C. Lee, .L. Thomas, .W. Hernangomez",92,197,77,163,13,40,30,35,20,69,89,28,28,10,10,7,40,27,-10
"169",".C. Anthony, .J. Calderon, .A. Afflalo, .R. Lopez, .D. Williams",69,132,49,114,4,19,30,41,13,47,60,22,19,5,8,5,24,29,-30
"170",".C. Anthony, .J. Calderon, .A. Afflalo, .R. Lopez, .K. Porzingis",735,1495,595,1301,116,307,189,230,172,543,715,298,211,66,100,57,243,222,-32
"171",".C. Anthony, .J. Calderon, .A. Afflalo, .R. Lopez, .L. Thomas",103,227,86,166,13,35,42,46,15,79,94,44,41,8,15,14,42,38,13
"172",".C. Anthony, .J. Calderon, .R. Lopez, .K. Porzingis, .L. Galloway",52,96,36,89,8,24,16,16,14,42,56,22,20,7,12,4,21,14,8
"173",".C. Anthony, .J. Noah, .C. Lee, .B. Jennings, .K. Porzingis",109,224,83,199,25,64,33,48,26,76,102,52,34,16,14,4,51,42,-18
"174",".C. Anthony, .J. Noah, .D. Rose, .C. Lee, .K. Porzingis",396,854,339,744,67,169,109,139,104,277,381,181,102,44,44,42,137,132,-46
"175",".C. Anthony, .J. Noah, .D. Rose, .C. Lee, .L. Thomas",71,162,67,137,8,22,20,29,23,48,71,26,14,9,4,4,27,27,24
"176",".C. Anthony, .R. Felton, .R. Westbrook, .P. George, .S. Adams",65,145,52,117,18,51,23,28,17,39,56,26,22,12,1,5,43,27,13
"177",".C. Anthony, .R. Westbrook, .A. Roberson, .S. Adams, .A. Abrines",76,138,54,149,10,39,20,36,30,48,78,30,15,12,6,10,28,31,-24
"178",".C. Anthony, .R. Westbrook, .P. George, .A. Roberson, .D. Johnson",57,116,44,95,6,18,22,27,13,38,51,22,17,13,6,3,25,22,9
"179",".C. Anthony, .R. Westbrook, .P. George, .A. Roberson, .S. Adams",539,1207,478,986,90,270,161,233,157,382,539,263,166,139,46,35,187,219,162
"180",".C. Anthony, .R. Westbrook, .P. George, .S. Adams, .A. Abrines",198,491,180,394,56,150,75,96,55,136,191,96,57,29,17,15,78,86,26
"181",".C. Anthony, .R. Westbrook, .P. George, .S. Adams, .J. Grant",123,296,109,226,24,73,54,68,37,84,121,67,43,12,18,20,66,54,-1
"182",".C. Anthony, .R. Westbrook, .P. George, .S. Adams, .J. Huestis",175,424,164,329,36,99,60,80,54,114,168,81,51,37,20,16,57,72,39
"183",".C. Anthony, .R. Westbrook, .P. George, .S. Adams, .T. Ferguson",236,551,217,470,55,148,62,93,85,151,236,121,77,31,22,22,89,87,-14
"184",".C. Anthony, .S. Vujacic, .J. Calderon, .R. Lopez, .K. Porzingis",229,462,176,418,48,128,62,71,59,174,233,113,66,28,29,15,98,69,8
"185",".C. Anthony, .S. Vujacic, .R. Lopez, .D. Williams, .J. Grant",69,143,52,112,18,35,21,25,14,54,68,28,22,7,11,3,21,20,4
"186",".C. Bosh, .D. Wade, .G. Green, .G. Dragic, .H. Whiteside",105,219,88,174,13,32,30,45,25,72,97,47,33,15,12,7,26,42,14
"187",".C. Bosh, .D. Wade, .L. Deng, .G. Dragic, .H. Whiteside",339,650,262,561,41,118,85,120,65,241,306,150,99,46,64,24,95,117,-8
"188",".C. Bosh, .D. Wade, .L. Deng, .G. Green, .G. Dragic",61,140,47,106,11,40,35,38,6,36,42,21,19,7,1,2,33,25,-2
"189",".C. Brewer, .E. Gordon, .P. Beverley, .C. Capela, .S. Dekker",85,175,64,146,22,61,25,40,20,52,72,40,24,11,14,17,46,36,-19
"190",".C. Brewer, .E. Gordon, .P. Beverley, .M. Harrell, .S. Dekker",92,202,78,173,26,74,20,33,26,53,79,49,21,17,5,10,46,38,16
"191",".C. Brewer, .J. Clarkson, .J. Randle, .K. Kuzma, .J. Hart",113,243,90,186,16,45,47,66,27,80,107,46,38,12,10,9,47,51,-11
"192",".C. Brewer, .J. Clarkson, .L. Nance Jr., .A. Caruso, .K. Kuzma",52,107,40,105,8,28,19,23,19,28,47,18,15,15,7,8,22,19,-19
"193",".C. Frye, .N. Vucevic, .T. Harris, .E. Fournier, .E. Payton",334,700,282,588,62,147,74,98,65,220,285,181,89,78,24,50,113,104,47
"194",".C. Frye, .N. Vucevic, .T. Harris, .E. Fournier, .V. Oladipo",98,196,80,173,15,47,21,26,18,61,79,47,27,17,10,8,34,31,-1
"195",".C. Joseph, .B. Bogdanovic, .D. McDermott, .D. Sabonis, .A. Holiday",77,167,59,133,19,49,30,37,15,56,71,46,30,10,7,7,45,33,-9
"196",".C. Joseph, .D. McDermott, .D. Sabonis, .T. Leaf, .A. Holiday",66,141,56,123,12,41,17,25,10,42,52,39,13,6,4,5,36,26,-13
"197",".C. Miles, .D. DeRozan, .J. Poeltl, .P. Siakam, .F. VanVleet",101,262,99,203,24,70,40,54,23,63,86,52,12,17,10,13,41,42,34
"198",".C. Miles, .D. Wright, .J. Poeltl, .F. VanVleet, .O. Anunoby",59,131,47,104,13,50,24,28,11,44,55,28,24,11,8,5,34,33,20
"199",".C. Miles, .D. Wright, .J. Poeltl, .P. Siakam, .F. VanVleet",340,794,305,606,100,244,84,101,63,223,286,209,96,62,52,34,161,121,120
"200",".C. Miles, .J. Teague, .P. George, .L. Allen, .M. Turner",103,230,83,178,20,60,44,49,18,66,84,58,35,20,11,11,43,40,0
"201",".C. Miles, .K. Lowry, .D. DeRozan, .J. Poeltl, .P. Siakam",52,113,40,105,11,35,22,33,15,37,52,28,14,11,4,13,27,25,-12
"202",".C. Miles, .M. Ellis, .G. Hill, .J. Hill, .P. George",59,143,47,111,18,40,31,46,17,39,56,25,15,9,3,2,27,34,26
"203",".C. Miles, .M. Ellis, .J. Teague, .P. George, .M. Turner",101,265,85,178,28,73,67,83,19,51,70,44,25,19,9,7,46,56,38
"204",".C. Miles, .M. Ellis, .R. Stuckey, .J. Hill, .P. George",62,147,50,104,13,34,34,41,9,46,55,26,16,7,7,8,20,24,6
"205",".C. Miles, .N. Powell, .J. Poeltl, .P. Siakam, .F. VanVleet",64,119,46,115,14,51,13,14,10,41,51,30,23,10,6,11,38,13,-31
"206",".C. Miles, .T. Young, .J. Teague, .P. George, .M. Turner",444,994,370,763,96,239,158,188,76,309,385,231,122,81,45,42,178,174,55
"207",".C. Paul, .J. Redick, .D. Jordan, .B. Griffin, .A. Rivers",130,309,105,217,25,75,74,100,28,97,125,54,29,11,7,7,54,72,43
"208",".C. Paul, .J. Redick, .D. Jordan, .B. Griffin, .L. Stephenson",155,379,149,265,21,51,60,97,20,119,139,94,42,20,25,6,59,81,58
"209",".C. Paul, .J. Redick, .D. Jordan, .B. Griffin, .W. Johnson",100,217,81,179,15,41,40,60,22,76,98,51,24,15,10,1,52,58,20
"210",".C. Paul, .J. Redick, .D. Jordan, .L. Mbah a Moute, .A. Rivers",82,190,70,153,18,52,32,40,21,65,86,43,20,18,6,7,27,37,25
"211",".C. Paul, .J. Redick, .D. Jordan, .L. Mbah a Moute, .B. Griffin",1144,2636,992,1937,220,503,432,617,218,851,1069,652,310,217,103,69,359,544,347
"212",".C. Paul, .J. Redick, .D. Jordan, .L. Mbah a Moute, .W. Johnson",158,333,120,269,33,98,60,89,29,118,147,76,40,37,21,12,61,74,47
"213",".C. Paul, .J. Redick, .J. Green, .D. Jordan, .L. Mbah a Moute",95,219,81,159,19,48,38,52,14,59,73,50,18,19,7,6,36,46,20
"214",".C. Paul, .P. Tucker, .E. Gordon, .J. Harden, .C. Capela",420,994,356,764,134,373,148,184,72,272,344,197,105,71,33,41,151,169,61
"215",".C. Paul, .P. Tucker, .E. Gordon, .J. Harden, .K. Faried",100,261,91,204,39,103,40,45,33,46,79,49,21,27,6,11,33,34,5
"216",".C. Paul, .P. Tucker, .J. Harden, .J. Ennis III, .C. Capela",212,443,164,351,51,154,64,89,51,120,171,100,87,42,23,17,88,87,-38
"217",".C. Paul, .P. Tucker, .L. Mbah a Moute, .J. Harden, .C. Capela",131,322,108,203,44,95,62,82,14,92,106,59,33,29,15,7,32,60,48
