"","LINEUPS","MIN","PTS","FGM","FGA","3PM","3PA","FTM","FTA","OREB","DREB","REB","AST","TOV","STL","BLK","BLKA","PF","PFD","+/-"
"509",".J. Teague, .A. Wiggins, .D. Saric, .K. Towns, .J. Okogie",73,193,69,131,22,44,33,36,17,51,68,42,27,5,6,9,39,34,-3
"510",".J. Teague, .P. George, .K. Seraphin, .G. Robinson III, .M. Turner",62,130,47,92,14,29,22,28,6,42,48,29,20,7,5,0,19,27,-6
"511",".J. Teague, .T. Gibson, .A. Wiggins, .K. Towns, .J. Okogie",115,286,104,220,26,64,52,68,34,85,119,56,43,25,11,19,57,53,32
"512",".J. Teague, .T. Gibson, .J. Butler, .A. Wiggins, .K. Towns",1131,2593,990,2022,184,487,429,546,255,756,1011,553,293,225,109,108,394,487,170
"513",".J. Teague, .T. Gibson, .J. Butler, .G. Dieng, .A. Wiggins",123,275,105,219,14,43,51,64,23,77,100,54,31,23,10,14,37,53,-28
"514",".J. Teague, .T. Gibson, .J. Butler, .K. Towns, .J. Okogie",55,121,45,114,12,43,19,21,23,32,55,30,21,14,13,8,19,29,-19
"515",".J. Teague, .T. Gibson, .N. Bjelica, .A. Wiggins, .K. Towns",382,885,344,715,57,167,140,176,92,297,389,181,103,53,29,39,127,150,53
"516",".J. Teague, .T. Gibson, .R. Covington, .A. Wiggins, .K. Towns",230,501,188,417,55,123,70,96,68,154,222,129,81,44,25,29,80,97,14
"517",".J. Terry, .E. Bledsoe, .J. Henson, .K. Middleton, .G. Antetokounmpo",93,213,78,155,18,50,39,48,17,69,86,47,31,19,16,6,33,36,10
"518",".J. Terry, .G. Monroe, .K. Middleton, .M. Teletovic, .M. Dellavedova",72,147,61,136,14,46,11,15,20,54,74,39,20,15,4,5,24,19,19
"519",".J. Terry, .G. Monroe, .M. Teletovic, .G. Antetokounmpo, .M. Brogdon",85,213,80,141,23,46,30,36,19,64,83,50,28,17,10,5,33,34,57
"520",".J. Terry, .G. Monroe, .T. Snell, .G. Antetokounmpo, .M. Dellavedova",61,124,46,103,6,29,26,35,13,41,54,27,14,6,8,3,21,26,6
"521",".J. Terry, .M. Beasley, .G. Monroe, .G. Antetokounmpo, .M. Brogdon",89,190,70,149,16,33,34,47,16,65,81,48,26,19,8,11,40,42,26
"522",".J. Terry, .M. Beasley, .G. Monroe, .J. Parker, .M. Brogdon",55,136,54,96,9,17,19,26,9,40,49,29,14,7,8,2,21,23,10
"523",".J. Valanciunas, .J. Holiday, .B. Caboclo, .D. Wright, .T. Dorsey",52,134,53,89,16,26,12,23,9,45,54,34,18,6,5,7,17,16,10
"524",".J. Wall, .B. Beal, .O. Porter Jr., .K. Oubre Jr., .T. Bryant",65,161,69,138,14,45,9,16,9,45,54,40,17,15,14,5,22,28,-26
"525",".J. Wall, .B. Beal, .T. Satoransky, .O. Porter Jr., .T. Bryant",54,121,50,101,10,34,11,15,8,42,50,34,13,9,5,2,21,15,16
"526",".J. Wall, .M. Morris, .B. Beal, .O. Porter Jr., .K. Oubre Jr.",192,487,160,342,44,120,123,150,34,141,175,90,51,35,16,11,91,104,-1
"527",".K. Bazemore, .A. Len, .T. Prince, .O. Spellman, .T. Young",62,127,49,116,16,47,13,17,13,43,56,28,39,15,3,9,27,25,-37
"528",".K. Bazemore, .D. Dedmon, .J. Collins, .K. Huerter, .T. Young",149,343,127,271,43,109,46,66,43,104,147,86,68,28,12,13,69,56,-3
"529",".K. Bazemore, .D. Dedmon, .T. Prince, .J. Collins, .T. Young",78,158,54,144,17,61,33,44,18,63,81,37,25,10,14,11,38,43,-26
"530",".K. Bazemore, .D. Schroder, .D. Dedmon, .T. Prince, .J. Collins",118,276,106,210,31,75,33,39,18,78,96,67,42,32,16,14,38,45,19
"531",".K. Caldwell-Pope, .J. Clarkson, .J. Randle, .B. Ingram, .K. Kuzma",62,138,50,99,8,26,30,44,17,34,51,19,20,7,9,7,33,34,-14
"532",".K. Caldwell-Pope, .J. Randle, .B. Ingram, .L. Ball, .K. Kuzma",98,213,75,173,21,63,42,63,18,78,96,44,22,17,13,17,53,41,23
"533",".K. Durant, .J. McGee, .K. Thompson, .D. Green, .Q. Cook",71,150,57,135,14,45,22,24,17,47,64,46,18,13,8,3,19,24,-18
"534",".K. Durant, .J. McGee, .S. Curry, .K. Thompson, .D. Green",225,601,231,426,73,148,66,81,30,200,230,174,67,43,28,19,76,75,142
"535",".K. Durant, .K. Thompson, .D. Green, .P. McCaw, .J. Bell",52,106,40,89,8,37,18,22,10,35,45,32,18,15,15,4,17,21,5
"536",".K. Durant, .S. Curry, .D. Cousins, .K. Thompson, .D. Green",268,687,265,509,74,206,83,98,39,225,264,200,78,45,43,21,100,100,77
"537",".K. Durant, .S. Curry, .K. Thompson, .D. Green, .D. Jones",142,360,144,253,40,99,32,43,17,105,122,108,50,26,15,6,66,51,15
"538",".K. Durant, .S. Curry, .K. Thompson, .D. Green, .K. Looney",313,847,318,608,105,241,106,130,67,240,307,231,90,52,35,21,146,116,121
"539",".K. Irving, .M. Morris, .A. Baynes, .M. Smart, .J. Tatum",71,188,71,140,18,48,28,31,15,47,62,39,17,19,1,4,28,30,18
"540",".K. Korver, .D. Favors, .J. Crowder, .D. Exum, .J. Ingles",55,135,48,99,16,44,23,29,11,41,52,32,13,10,5,4,25,28,19
"541",".K. Korver, .D. Favors, .J. Crowder, .R. Neto, .J. Ingles",83,219,78,167,32,84,31,44,25,72,97,64,23,11,11,7,32,40,45
