"","LINEUPS","MIN","PTS","FGM","FGA","3PM","3PA","FTM","FTA","OREB","DREB","REB","AST","TOV","STL","BLK","BLKA","PF","PFD","+/-"
"637",".L. Williams, .W. Chandler, .G. Temple, .J. Green, .M. Harrell",69,164,57,137,7,37,43,49,16,52,68,24,21,15,6,11,41,33,14
"638",".M. Barnes, .A. Tolliver, .T. Lawson, .W. Cauley-Stein, .M. Richardson",67,143,58,113,10,29,17,24,10,51,61,36,27,14,8,5,32,24,9
"639",".M. Barnes, .D. West, .A. Iguodala, .K. Thompson, .I. Clark",85,172,69,134,19,50,15,20,11,54,65,49,26,9,16,7,33,21,4
"640",".M. Barnes, .K. Koufos, .D. Collison, .D. Cousins, .B. McLemore",91,172,68,158,19,48,17,23,10,59,69,44,18,10,7,7,37,38,-44
"641",".M. Barnes, .R. Gay, .A. Afflalo, .T. Lawson, .D. Cousins",57,116,40,95,10,24,26,35,14,29,43,22,11,6,4,6,24,29,-17
"642",".M. Beasley, .C. Lee, .E. Kanter, .T. Hardaway Jr., .E. Mudiay",128,276,112,262,20,64,32,38,38,81,119,65,36,21,12,13,40,44,-43
"643",".M. Beasley, .C. Lee, .K. O'Quinn, .D. McDermott, .F. Ntilikina",72,160,63,128,12,28,22,27,15,50,65,39,23,14,12,7,35,19,9
"644",".M. Beasley, .G. Monroe, .T. Snell, .J. Parker, .M. Brogdon",51,126,49,90,12,23,16,20,6,33,39,30,14,8,5,4,17,18,-5
"645",".M. Beasley, .K. O'Quinn, .D. McDermott, .R. Baker, .F. Ntilikina",120,272,104,203,19,43,45,61,21,75,96,58,29,18,16,5,60,49,9
"646",".M. Belinelli, .D. DeRozan, .P. Mills, .D. Bertans, .J. Poeltl",107,258,91,191,32,71,44,55,21,78,99,57,31,13,7,8,42,46,1
"647",".M. Belinelli, .D. Schroder, .D. Dedmon, .T. Prince, .J. Collins",53,116,44,102,17,43,11,11,13,28,41,25,18,6,2,7,30,14,-21
"648",".M. Belinelli, .K. Walker, .M. Kidd-Gilchrist, .C. Zeller, .F. Kaminsky",67,135,52,113,8,32,23,26,5,48,53,30,12,11,12,6,21,19,16
"649",".M. Belinelli, .M. Delaney, .I. Taylor, .J. Collins, .T. Cavanaugh",55,109,45,102,11,33,8,14,13,35,48,28,15,12,3,7,24,20,1
"650",".M. Belinelli, .N. Batum, .K. Walker, .C. Zeller, .F. Kaminsky",95,263,98,170,31,64,36,42,8,57,65,62,24,16,5,7,32,33,45
"651",".M. Belinelli, .P. Mills, .D. Bertans, .J. Poeltl, .B. Forbes",74,215,75,129,32,63,33,45,13,54,67,43,21,12,8,2,31,34,25
"652",".M. Belinelli, .R. Sessions, .R. Hibbert, .M. Kidd-Gilchrist, .F. Kaminsky",51,113,43,88,10,28,17,23,13,39,52,26,16,9,6,6,19,18,13
"653",".M. Belinelli, .R. Sessions, .R. Hibbert, .N. Batum, .F. Kaminsky",88,204,67,148,20,46,50,60,9,76,85,39,22,10,8,4,28,41,-3
"654",".M. Conley, .A. Bradley, .J. Valanciunas, .J. Holiday, .B. Caboclo",51,110,41,92,7,27,21,25,6,34,40,27,15,11,5,6,20,24,-7
"655",".M. Conley, .M. Gasol, .C. Parsons, .J. Green, .J. Ennis III",90,175,66,151,10,46,33,37,15,66,81,39,22,7,4,3,42,40,-6
"656",".M. Conley, .M. Gasol, .G. Temple, .J. Green, .K. Anderson",121,261,97,202,25,72,42,54,21,76,97,65,35,17,19,10,61,55,-12
"657",".M. Conley, .M. Gasol, .G. Temple, .J. Holiday, .J. Jackson Jr.",74,150,55,131,20,59,20,25,12,46,58,42,18,16,5,10,37,29,-17
"658",".M. Conley, .M. Gasol, .G. Temple, .K. Anderson, .J. Jackson Jr.",464,962,370,773,93,246,129,169,56,337,393,247,134,89,72,33,174,192,78
"659",".M. Conley, .M. Gasol, .G. Temple, .S. Mack, .K. Anderson",67,146,47,109,11,41,41,50,7,46,53,31,14,17,9,5,34,37,7
"660",".M. Conley, .M. Gasol, .J. Ennis III, .A. Harrison, .J. Martin",92,174,60,145,18,58,36,44,13,63,76,39,20,10,13,9,38,47,-22
"661",".M. Conley, .M. Gasol, .J. Ennis III, .J. Martin, .D. Brooks",64,128,47,101,11,38,23,31,11,42,53,24,17,8,11,5,29,30,5
"662",".M. Ellis, .J. Teague, .P. George, .L. Allen, .M. Turner",81,188,71,147,18,42,28,39,27,61,88,42,15,13,4,8,36,27,30
"663",".M. Ellis, .T. Young, .J. Teague, .G. Robinson III, .M. Turner",106,254,92,178,16,41,54,66,17,78,95,55,34,22,10,7,28,52,29
"664",".M. Ellis, .T. Young, .J. Teague, .P. George, .M. Turner",603,1319,496,1016,106,261,221,269,86,414,500,307,199,118,93,63,231,266,-19
"665",".M. Gasol, .D. Green, .K. Leonard, .P. Siakam, .F. VanVleet",87,212,78,144,30,65,26,31,11,69,80,44,32,13,9,4,38,36,27
"666",".M. Gasol, .G. Temple, .S. Mack, .K. Anderson, .J. Jackson Jr.",64,127,46,101,12,34,23,30,6,43,49,28,14,8,5,5,31,25,-8
"667",".M. Gasol, .J. Green, .A. Harrison, .J. Martin, .D. Brooks",78,156,59,137,15,49,23,30,13,51,64,39,19,9,10,12,39,29,-14
"668",".M. Gasol, .M. Chalmers, .C. Parsons, .J. Green, .D. Brooks",70,137,56,118,12,34,13,14,5,50,55,41,21,7,4,5,27,24,-4
"669",".M. Gasol, .M. Chalmers, .T. Evans, .J. Green, .D. Brooks",64,136,47,111,15,36,27,35,11,32,43,24,17,12,3,13,29,34,-35
"670",".M. Gasol, .T. Evans, .J. Green, .A. Harrison, .D. Brooks",196,417,166,334,44,111,41,47,29,133,162,100,54,33,16,17,87,81,45
"671",".M. Gasol, .T. Evans, .J. Green, .B. McLemore, .D. Brooks",82,166,64,129,20,43,18,23,14,53,67,40,31,8,5,6,32,23,-8
"672",".M. Ginobili, .D. Lee, .L. Aldridge, .P. Mills, .K. Leonard",84,202,70,157,21,49,41,53,24,56,80,43,20,8,8,8,36,37,-10
"673",".M. Ginobili, .D. Lee, .P. Mills, .D. Dedmon, .J. Simmons",73,167,61,125,16,38,29,36,18,62,80,40,30,14,9,10,36,34,46
"674",".M. Ginobili, .P. Gasol, .D. Lee, .P. Mills, .K. Leonard",70,173,61,133,18,48,33,37,16,52,68,38,18,14,10,7,18,23,15
"675",".M. Ginobili, .P. Gasol, .L. Aldridge, .P. Mills, .K. Leonard",123,289,107,220,24,62,51,70,26,75,101,71,36,19,11,8,45,58,-1
"676",".M. Ginobili, .P. Gasol, .T. Parker, .L. Aldridge, .K. Leonard",55,130,46,91,9,24,29,39,7,32,39,22,16,7,8,4,18,33,-1
"677",".M. Gortat, .B. Beal, .T. Satoransky, .O. Porter Jr., .K. Oubre Jr.",68,157,61,128,18,46,17,23,16,46,62,38,20,13,8,4,24,28,15
"678",".M. Gortat, .D. Gallinari, .A. Bradley, .T. Harris, .S. Gilgeous-Alexander",349,778,303,602,70,167,102,119,49,233,282,163,116,48,26,37,134,126,-49
"679",".M. Gortat, .D. Gallinari, .P. Beverley, .A. Bradley, .T. Harris",121,251,89,218,23,67,50,60,31,94,125,49,43,10,10,13,59,60,-14
"680",".M. Gortat, .D. Gallinari, .P. Beverley, .T. Harris, .S. Gilgeous-Alexander",73,183,68,130,19,38,28,32,12,58,70,41,25,7,4,7,33,30,9
"681",".M. Gortat, .J. Smith, .J. Wall, .B. Beal, .O. Porter Jr.",136,318,116,249,33,77,53,64,33,78,111,67,37,15,12,10,54,58,-34
"682",".M. Gortat, .J. Wall, .B. Beal, .M. Scott, .K. Oubre Jr.",64,146,56,130,17,46,17,23,19,50,69,31,14,9,10,9,27,23,-16
"683",".M. Gortat, .J. Wall, .B. Beal, .O. Porter Jr., .K. Oubre Jr.",404,986,354,736,96,244,182,227,80,293,373,219,111,89,42,32,167,192,145
"684",".M. Gortat, .J. Wall, .M. Morris, .B. Beal, .K. Oubre Jr.",204,471,180,355,41,109,70,103,43,141,184,91,76,30,18,17,91,86,6
"685",".M. Gortat, .J. Wall, .M. Morris, .B. Beal, .O. Porter Jr.",1831,4235,1646,3339,393,959,550,708,364,1272,1636,1014,513,338,139,186,665,663,301
"686",".M. Gortat, .M. Morris, .B. Beal, .O. Porter Jr., .T. Frazier",201,392,159,358,36,89,38,51,30,132,162,97,46,36,14,23,65,66,-21
"687",".M. Gortat, .M. Morris, .B. Beal, .T. Satoransky, .O. Porter Jr.",526,1190,474,923,102,249,140,169,106,373,479,325,157,78,49,41,175,154,93
"688",".M. Gortat, .M. Thornton, .J. Wall, .M. Morris, .O. Porter Jr.",62,140,50,123,9,27,31,39,19,43,62,24,18,9,7,7,27,32,0
"689",".M. Gortat, .P. Beverley, .A. Bradley, .T. Harris, .S. Gilgeous-Alexander",108,218,90,210,20,55,18,22,25,81,106,56,31,13,2,16,40,29,-31
"690",".M. Leonard, .S. Napier, .N. Vonleh, .P. Connaughton, .J. Layman",70,155,52,116,23,51,28,34,10,52,62,33,22,10,8,2,20,25,23
"691",".M. Morris, .B. Beal, .T. Satoransky, .O. Porter Jr., .K. Oubre Jr.",89,257,93,171,26,67,45,52,17,57,74,67,20,20,10,5,53,47,63
"692",".M. Morris, .R. Jackson, .J. Leuer, .A. Drummond, .K. Caldwell-Pope",404,840,337,768,67,199,99,148,110,257,367,183,94,66,26,35,127,137,-84
"693",".M. Morris, .T. Harris, .R. Jackson, .A. Drummond, .K. Caldwell-Pope",385,783,311,689,74,229,87,134,79,266,345,160,96,48,28,29,127,120,-80
"694",".M. Morris, .T. Harris, .R. Jackson, .A. Drummond, .S. Johnson",52,117,49,105,11,26,8,12,15,32,47,27,16,13,6,2,30,14,-12
"695",".M. Plumlee, .N. Jokic, .J. Murray, .J. Hernangomez, .T. Craig",144,311,120,255,40,102,31,43,45,101,146,86,45,19,15,13,48,53,-19
"696",".M. Plumlee, .T. Lyles, .M. Beasley, .J. Hernangomez, .M. Morris",112,244,95,217,20,72,34,47,25,88,113,50,36,20,13,13,49,51,15
"697",".M. Plumlee, .T. Lyles, .M. Beasley, .J. Murray, .M. Morris",168,389,153,320,37,95,46,69,36,119,155,100,42,28,16,22,68,60,26
"698",".M. Plumlee, .T. Snell, .G. Antetokounmpo, .M. Dellavedova, .J. Parker",137,288,115,225,22,66,36,46,21,101,122,75,51,26,15,13,61,54,0
"699",".M. Williams, .B. Biyombo, .K. Walker, .D. Bacon, .M. Bridges",64,137,55,127,14,41,13,17,16,48,64,41,9,11,4,11,18,24,-24
"700",".M. Williams, .K. Walker, .M. Kidd-Gilchrist, .J. Lamb, .C. Zeller",55,108,47,103,6,24,8,10,13,38,51,26,12,8,4,5,17,15,-18
"701",".M. Williams, .M. Belinelli, .J. Lamb, .F. Kaminsky, .B. Weber",69,137,50,119,15,40,22,28,11,39,50,30,11,9,2,3,22,26,-16
"702",".M. Williams, .M. Belinelli, .N. Batum, .K. Walker, .C. Zeller",106,247,83,203,28,86,53,68,28,67,95,48,24,17,7,13,45,55,32
"703",".M. Williams, .M. Belinelli, .N. Batum, .K. Walker, .F. Kaminsky",80,212,66,154,22,67,58,67,12,51,63,41,15,14,7,4,33,46,41
"704",".M. Williams, .N. Batum, .B. Biyombo, .K. Walker, .J. Lamb",215,447,165,386,56,161,61,77,40,161,201,93,54,31,25,27,70,75,-30
"705",".M. Williams, .N. Batum, .K. Walker, .C. Zeller, .M. Bridges",97,226,90,192,29,70,17,19,23,68,91,50,31,14,8,11,39,30,-8
"706",".M. Williams, .N. Batum, .K. Walker, .J. Lamb, .C. Zeller",593,1426,523,1128,164,445,216,248,125,417,542,320,137,93,59,67,213,244,93
"707",".M. Williams, .N. Batum, .K. Walker, .J. Lamb, .F. Kaminsky",60,128,48,115,13,51,19,22,12,43,55,27,20,9,9,5,23,24,-9
"708",".M. Williams, .N. Batum, .K. Walker, .M. Kidd-Gilchrist, .C. Zeller",784,1701,624,1383,155,439,298,367,142,565,707,409,191,147,76,104,214,301,82
"709",".M. Williams, .N. Batum, .K. Walker, .M. Kidd-Gilchrist, .F. Kaminsky",219,472,169,371,61,160,73,84,21,151,172,102,55,37,26,27,77,77,-33
"710",".M. Williams, .N. Batum, .K. Walker, .M. Kidd-Gilchrist, .J. Lamb",68,162,60,129,18,52,24,32,14,48,62,35,14,12,9,9,20,31,3
"711",".M. Williams, .R. Hibbert, .N. Batum, .K. Walker, .M. Kidd-Gilchrist",170,371,134,311,37,92,66,76,42,133,175,83,38,22,21,21,68,70,20
"712",".M. Williams, .S. Hawes, .N. Batum, .K. Walker, .M. Kidd-Gilchrist",64,101,34,111,10,47,23,32,13,47,60,22,21,3,12,11,22,22,-53
"713",".N. Batum, .K. Walker, .M. Kidd-Gilchrist, .C. Zeller, .F. Kaminsky",163,356,132,291,31,96,61,83,40,120,160,91,42,34,13,22,55,63,16
"714",".N. Batum, .K. Walker, .M. Kidd-Gilchrist, .J. Lamb, .C. Zeller",79,178,65,149,21,55,27,31,23,50,73,32,20,12,7,19,40,38,-6
"715",".N. Bjelica, .B. Bogdanovic, .W. Cauley-Stein, .B. Hield, .D. Fox",150,363,135,298,37,97,56,75,34,107,141,88,35,29,14,23,74,61,0
"716",".N. Bjelica, .G. Dieng, .S. Muhammad, .Z. LaVine, .K. Dunn",70,145,52,121,14,39,27,32,16,42,58,34,22,16,8,11,43,29,21
"717",".N. Bjelica, .H. Barnes, .W. Cauley-Stein, .B. Hield, .D. Fox",244,591,229,479,59,154,74,106,52,188,240,143,61,46,19,30,93,93,-3
"718",".N. Bjelica, .I. Shumpert, .B. Bogdanovic, .W. Cauley-Stein, .D. Fox",55,154,60,110,14,31,20,23,17,42,59,37,17,7,5,6,37,24,8
"719",".N. Bjelica, .I. Shumpert, .W. Cauley-Stein, .B. Hield, .D. Fox",500,1173,457,978,145,363,114,178,104,348,452,302,151,100,49,56,204,198,-2
"720",".N. Bjelica, .S. Muhammad, .T. Jones, .K. Towns, .K. Dunn",82,162,70,150,9,30,13,17,18,56,74,36,18,14,11,11,37,27,-3
"721",".N. Bjelica, .W. Cauley-Stein, .B. Hield, .D. Fox, .J. Jackson",85,216,83,164,19,39,31,45,20,60,80,56,22,20,8,13,27,36,36
"722",".N. Mirotic, .J. Grant, .B. Portis, .P. Zipser, .D. Nwaba",113,224,92,207,20,59,20,31,25,77,102,54,33,19,8,17,49,42,-11
"723",".N. Stauskas, .D. Saric, .T. McConnell, .R. Holmes, .T. Luwawu-Cabarrot",52,108,36,74,15,34,21,28,4,36,40,27,23,10,4,2,29,23,-11
"724",".N. Vonleh, .C. Payne, .B. Portis, .D. Valentine, .D. Nwaba",53,116,44,105,14,40,14,18,15,44,59,29,18,9,6,12,18,16,2
"725",".N. Vucevic, .E. Fournier, .J. Simmons, .E. Payton, .A. Gordon",198,460,174,364,46,129,66,88,32,121,153,96,54,36,17,17,81,74,-52
"726",".N. Vucevic, .T. Ross, .E. Fournier, .E. Payton, .A. Gordon",590,1419,556,1136,123,315,184,237,119,425,544,335,155,113,56,61,212,191,7
"727",".N. Young, .J. Clarkson, .J. Randle, .D. Russell, .B. Ingram",77,182,58,132,22,58,44,63,10,48,58,25,15,13,1,9,42,43,-13
"728",".N. Young, .J. Randle, .T. Black, .D. Russell, .B. Ingram",138,291,112,257,39,94,28,43,39,93,132,63,52,23,12,19,59,35,-40
"729",".N. Young, .T. Mozgov, .J. Randle, .D. Russell, .B. Ingram",63,127,46,105,15,37,20,32,11,37,48,34,20,7,3,2,26,21,-39
"730",".Nene, .C. Brewer, .E. Gordon, .P. Beverley, .S. Dekker",138,322,121,267,51,133,29,44,25,112,137,80,35,25,15,13,61,53,61
"731",".Nene, .G. Green, .P. Tucker, .J. Harden, .A. Rivers",55,134,47,97,16,48,24,32,8,46,54,18,14,9,2,4,28,24,15
"732",".Nene, .P. Tucker, .E. Gordon, .L. Mbah a Moute, .J. Harden",62,136,47,107,19,51,23,28,9,48,57,28,21,18,4,9,19,21,20
"733",".Nene, .T. Ariza, .E. Gordon, .J. Harden, .P. Beverley",55,125,39,87,14,45,33,45,6,38,44,21,19,11,7,7,32,29,-21
"734",".Nene, .T. Ariza, .E. Gordon, .J. Harden, .S. Dekker",136,315,110,255,37,124,58,89,37,93,130,73,45,27,11,9,43,58,5
"735",".Nene, .T. Ariza, .E. Gordon, .R. Anderson, .J. Harden",194,468,155,347,58,170,100,132,44,141,185,91,68,37,14,20,74,85,53
"736",".Nene, .T. Ariza, .L. Williams, .E. Gordon, .J. Harden",67,190,65,131,22,54,38,45,16,46,62,39,22,17,3,6,31,33,33
"737",".Nene, .T. Ariza, .P. Tucker, .E. Gordon, .J. Harden",51,153,48,89,21,46,36,47,7,37,44,31,12,14,2,3,21,35,38
"738",".Nene, .T. Ariza, .P. Tucker, .L. Mbah a Moute, .J. Harden",55,146,51,96,18,41,26,32,10,38,48,31,24,18,2,3,29,21,20
"739",".Nene, .T. Ariza, .R. Anderson, .J. Harden, .P. Beverley",156,367,127,289,43,141,70,91,43,116,159,84,52,28,12,14,73,70,7
"740",".O. Asik, .D. Cunningham, .E. Moore, .A. Davis, .T. Frazier",56,129,55,110,10,25,9,11,12,43,55,34,11,6,11,5,20,20,9
"741",".O. Asik, .E. Moore, .A. Davis, .S. Hill, .T. Frazier",116,258,95,204,16,41,52,65,16,91,107,61,27,17,12,9,36,53,9
"742",".O. Casspi, .S. Muhammad, .T. Jones, .K. Towns, .K. Dunn",82,180,66,144,10,30,38,49,23,33,56,42,26,26,5,8,34,40,-34
"743",".P. Beverley, .A. Bradley, .T. Harris, .M. Harrell, .S. Gilgeous-Alexander",82,196,73,150,15,41,35,41,15,57,72,37,21,12,9,10,39,37,7
"744",".P. Gasol, .L. Aldridge, .D. Green, .K. Anderson, .D. Murray",148,289,118,252,16,49,37,52,29,122,151,71,51,19,22,12,32,53,-21
"745",".P. Gasol, .L. Aldridge, .D. Green, .P. Mills, .K. Anderson",156,330,129,287,32,90,40,47,32,121,153,90,29,20,23,10,38,54,28
"746",".P. Gasol, .L. Aldridge, .D. Green, .P. Mills, .K. Leonard",86,203,64,142,21,51,54,61,18,55,73,42,18,18,9,4,30,49,38
"747",".P. Gasol, .L. Aldridge, .P. Mills, .K. Anderson, .D. Murray",92,216,83,170,16,35,34,43,19,61,80,54,16,20,12,9,25,37,25
"748",".P. Gasol, .L. Aldridge, .P. Mills, .K. Leonard, .K. Anderson",54,114,40,90,13,24,21,24,7,42,49,24,9,7,8,3,9,22,18
"749",".P. Gasol, .T. Parker, .L. Aldridge, .D. Green, .K. Anderson",79,183,73,138,16,29,21,27,12,58,70,50,14,15,6,6,19,28,46
"750",".P. Gasol, .T. Parker, .L. Aldridge, .D. Green, .K. Leonard",446,978,384,781,77,190,133,169,68,330,398,234,104,61,64,27,129,159,68
"751",".P. Gasol, .T. Parker, .L. Aldridge, .K. Leonard, .J. Simmons",54,111,44,92,9,16,14,18,13,40,53,24,13,5,7,5,14,23,12
"752",".P. George, .D. Schroder, .S. Adams, .A. Abrines, .J. Grant",52,104,38,89,12,32,16,26,9,44,53,16,17,8,5,8,22,23,1
"753",".P. George, .D. Schroder, .S. Adams, .J. Grant, .T. Ferguson",142,355,129,260,37,92,60,78,38,105,143,70,40,29,11,14,58,73,67
"754",".P. George, .M. Morris, .N. Noel, .D. Schroder, .A. Nader",79,158,57,143,11,55,33,50,16,58,74,25,19,8,10,4,43,49,-13
"755",".P. George, .P. Patterson, .N. Noel, .D. Schroder, .A. Nader",62,136,48,109,16,42,24,30,8,45,53,24,18,15,4,9,35,24,-2
"756",".P. Millsap, .G. Harris, .N. Jokic, .J. Hernangomez, .M. Morris",52,122,47,103,15,41,13,19,21,40,61,30,11,8,6,6,23,19,21
"757",".P. Millsap, .G. Harris, .N. Jokic, .J. Murray, .J. Hernangomez",158,381,143,289,38,100,57,70,34,107,141,104,51,35,15,8,57,77,29
"758",".P. Millsap, .G. Harris, .N. Jokic, .J. Murray, .T. Craig",199,412,166,368,31,115,49,70,64,134,198,90,76,33,16,24,77,85,-21
"759",".P. Millsap, .N. Jokic, .J. Murray, .J. Hernangomez, .T. Craig",75,165,67,145,12,37,19,29,22,56,78,49,21,11,6,6,25,31,-1
"760",".P. Millsap, .N. Jokic, .M. Beasley, .J. Murray, .T. Craig",140,365,145,278,41,89,34,46,44,115,159,99,38,19,13,17,51,58,71
"761",".P. Millsap, .W. Barton, .G. Harris, .N. Jokic, .J. Murray",495,1190,446,916,119,313,179,222,106,375,481,296,135,73,38,38,192,207,127
"762",".P. Millsap, .W. Barton, .N. Jokic, .M. Beasley, .J. Murray",95,237,86,180,24,55,41,55,23,81,104,61,31,16,6,11,44,50,28
"763",".P. Millsap, .W. Chandler, .G. Harris, .N. Jokic, .J. Murray",346,813,313,629,86,218,101,121,70,241,311,198,95,68,30,25,111,127,59
"764",".P. Millsap, .W. Chandler, .W. Barton, .N. Jokic, .J. Murray",318,746,276,585,96,223,98,118,76,210,286,166,77,49,32,37,102,117,72
"765",".P. Patterson, .N. Noel, .D. Schroder, .A. Abrines, .H. Diallo",76,158,61,148,13,39,23,30,28,50,78,29,32,15,9,13,41,39,-29
"766",".P. Pierce, .J. Crawford, .R. Felton, .M. Speights, .A. Rivers",102,212,79,166,22,67,32,41,17,75,92,29,35,9,8,6,52,43,8
"767",".P. Tucker, .E. Gordon, .J. Harden, .A. Rivers, .C. Capela",51,99,38,90,12,44,11,17,15,30,45,19,11,9,1,5,28,17,-18
"768",".P. Tucker, .E. Gordon, .J. Harden, .C. Capela, .D. House Jr.",129,312,107,235,43,107,55,70,46,106,152,52,52,23,16,17,59,53,35
"769",".P. Tucker, .E. Gordon, .J. Harden, .J. Ennis III, .C. Capela",124,291,107,215,32,97,45,54,24,79,103,66,40,18,17,17,47,41,11
"770",".P. Tucker, .E. Gordon, .J. Harden, .K. Faried, .A. Rivers",60,133,46,107,15,48,26,37,13,37,50,21,16,13,7,7,25,27,-20
"771",".P. Tucker, .E. Gordon, .L. Mbah a Moute, .J. Harden, .C. Capela",74,169,62,132,14,48,31,38,18,60,78,37,24,13,9,13,30,30,22
"772",".P. Tucker, .J. Harden, .A. Rivers, .C. Capela, .D. House Jr.",122,295,87,206,46,110,75,87,21,77,98,49,36,18,9,19,47,57,-7
"773",".P. Tucker, .P. Patterson, .D. Wright, .N. Powell, .J. Poeltl",69,120,40,118,12,37,28,42,26,36,62,19,23,19,6,14,38,33,-20
"774",".P. Tucker, .S. Ibaka, .D. DeRozan, .J. Valanciunas, .C. Joseph",87,200,80,163,14,40,26,36,16,64,80,41,18,13,9,4,37,30,11
"775",".Q. Acy, .A. Crabbe, .J. Harris, .C. LeVert, .J. Allen",52,94,31,87,13,44,19,22,11,40,51,22,20,5,8,3,17,23,-22
"776",".Q. Acy, .N. Stauskas, .J. Harris, .C. LeVert, .J. Allen",75,171,66,137,19,53,20,25,14,66,80,32,22,7,7,7,19,23,18
"777",".R. Covington, .D. Saric, .T. McConnell, .R. Holmes, .T. Luwawu-Cabarrot",61,123,47,105,7,33,22,24,5,47,52,30,21,15,8,5,27,23,-8
"778",".R. Covington, .J. Embiid, .D. Saric, .B. Simmons, .M. Fultz",65,148,58,123,8,26,24,31,18,50,68,29,21,13,6,7,24,34,-1
"779",".R. Covington, .J. Embiid, .D. Saric, .B. Simmons, .T. Luwawu-Cabarrot",72,182,69,133,23,48,21,31,20,54,74,41,16,7,9,2,33,29,44
"780",".R. Covington, .N. Stauskas, .D. Saric, .T. McConnell, .J. Okafor",51,95,37,103,10,33,11,21,18,37,55,20,16,13,3,15,19,18,-16
"781",".R. Covington, .N. Stauskas, .D. Saric, .T. McConnell, .R. Holmes",54,116,41,96,15,36,19,27,9,47,56,32,18,7,4,9,18,21,-17
"782",".R. Felton, .J. Redick, .D. Jordan, .L. Mbah a Moute, .A. Rivers",96,211,81,161,20,46,29,37,21,52,73,51,26,16,13,8,27,35,-9
"783",".R. Felton, .P. George, .P. Patterson, .A. Abrines, .J. Grant",130,241,78,208,29,98,56,72,14,64,78,41,34,27,10,12,62,53,-52
"784",".R. Felton, .P. George, .P. Patterson, .J. Grant, .J. Huestis",68,111,38,108,12,45,23,36,12,54,66,14,19,4,14,10,32,33,-25
"785",".R. Felton, .P. George, .P. Patterson, .J. Grant, .T. Ferguson",99,182,64,157,26,73,28,35,16,67,83,33,40,14,9,7,35,32,-41
"786",".R. Felton, .P. Patterson, .A. Abrines, .J. Grant, .J. Huestis",103,216,75,181,29,77,37,47,27,66,93,44,25,16,16,8,42,46,10
"787",".R. Felton, .P. Patterson, .J. Grant, .J. Huestis, .T. Ferguson",81,157,60,134,19,64,18,28,14,52,66,38,20,15,14,2,19,27,-7
"788",".R. Foye, .B. Lopez, .B. Bogdanovic, .S. Dinwiddie, .R. Hollis-Jefferson",65,146,53,110,15,36,25,31,7,56,63,35,22,9,11,7,19,29,2
"789",".R. Foye, .B. Lopez, .J. Lin, .R. Hollis-Jefferson, .C. LeVert",245,579,202,442,59,162,116,149,41,195,236,131,75,41,31,24,104,116,7
"790",".R. Foye, .B. Lopez, .S. Dinwiddie, .R. Hollis-Jefferson, .C. LeVert",58,123,43,96,12,38,25,34,7,43,50,17,15,9,5,5,18,26,14
"791",".R. Foye, .B. Lopez, .T. Booker, .B. Bogdanovic, .S. Dinwiddie",51,96,38,87,9,27,11,14,7,34,41,20,18,6,4,9,13,16,-16
"792",".R. Gay, .A. Afflalo, .K. Koufos, .D. Collison, .D. Cousins",71,147,55,119,13,28,24,27,16,48,64,36,26,13,7,7,23,30,-2
"793",".R. Gay, .A. Afflalo, .K. Koufos, .T. Lawson, .D. Cousins",145,304,111,248,21,56,61,74,24,112,136,63,34,25,10,23,56,64,7
"794",".R. Gay, .A. Tolliver, .D. Collison, .G. Temple, .D. Cousins",79,179,66,134,21,44,26,33,11,40,51,42,28,20,6,7,32,35,-25
"795",".R. Gay, .K. Koufos, .D. Collison, .D. Cousins, .B. McLemore",53,108,42,96,10,25,14,16,10,35,45,23,14,12,3,8,14,20,10
"796",".R. Gay, .M. Belinelli, .P. Mills, .D. Bertans, .J. Poeltl",118,294,110,226,36,98,38,52,26,93,119,61,31,11,14,3,36,48,52
"797",".R. Jefferson, .L. James, .C. Frye, .K. Irving, .I. Shumpert",64,179,66,117,19,45,28,35,12,41,53,47,8,6,2,7,20,26,29
"798",".R. Jefferson, .L. James, .K. Irving, .T. Thompson, .I. Shumpert",131,304,116,233,36,89,36,52,25,110,135,60,31,14,13,10,39,43,35
"799",".R. Lopez, .J. Holiday, .J. Grant, .D. Nwaba, .L. Markkanen",90,185,68,159,12,43,37,45,18,76,94,46,23,16,9,4,26,33,11
"800",".R. Lopez, .J. Holiday, .J. Grant, .D. Valentine, .L. Markkanen",197,386,151,360,44,137,40,50,44,154,198,98,70,23,17,18,68,57,-27
"801",".R. Lopez, .J. Holiday, .J. Grant, .P. Zipser, .L. Markkanen",100,202,80,178,28,69,14,18,18,54,72,57,24,16,5,5,33,33,-37
"802",".R. Lopez, .J. Holiday, .K. Dunn, .D. Nwaba, .L. Markkanen",61,126,49,104,9,21,19,24,12,54,66,27,23,5,8,9,23,19,10
"803",".R. Lopez, .J. Holiday, .K. Dunn, .D. Valentine, .L. Markkanen",504,1070,426,942,116,307,102,127,91,386,477,265,149,80,51,53,170,143,-63
"804",".R. Lopez, .J. Holiday, .Z. LaVine, .J. Grant, .L. Markkanen",106,220,86,194,18,59,30,40,17,90,107,51,30,13,6,12,32,39,4
"805",".R. Lopez, .J. Holiday, .Z. LaVine, .K. Dunn, .L. Markkanen",55,122,49,105,15,33,9,12,5,44,49,27,9,10,4,6,17,12,-14
"806",".R. Lopez, .N. Mirotic, .J. Holiday, .K. Dunn, .D. Valentine",54,107,45,102,7,26,10,16,8,38,46,30,16,14,4,5,18,16,-6
